poll_id,item_id,source_column_t1,historical_item_id,cor_item_id,question,wording_source,response_type,answer_choices,correct_codes,correct_answer,source_reference,coding_note,historical_item_id_t2
btp-national-2003,knowledge_006,qb41,41,,How much of each $100 in the federal budget went to foreign aid?,paraphrase of source label or questionnaire,multiple choice,"1: 1 dollar, | 2: 5 dollars, | 3: 10 dollars, | 4: 20 dollars, | 5: 30 dollars or more, or | 6: don't you have much idea about that?",1,"1 dollar,",data/btp-national-2003/variables.csv,,
btp-national-2003,knowledge_007,qb42,42,,How much of each $100 of United States output was sold abroad?,paraphrase of source label or questionnaire,multiple choice,"1: 4 dollars worth, | 2: 8 dollars, | 3: 12 dollars, | 4: 24 dollars or more, or | 5: don't you have much idea about that?",3,"12 dollars,",data/btp-national-2003/variables.csv,,
btp-national-2003,knowledge_008,qb43,43,,About how many adults per 100 in the most affected African countries had HIV/AIDS?,paraphrase of source label or questionnaire,multiple choice,"1: fewer than 5 out of 100, | 2: about 10 of 100, | 3: about 20 of 100, | 4: 30 or more out of 100, or | 5: don't you have much idea about that?",4,"30 or more out of 100, or",data/btp-national-2003/variables.csv,,
btp-national-2003,knowledge_009,qb44,44,,Did the United States have a veto over World Trade Organization decisions?,paraphrase of source label or questionnaire,multiple choice,1: true | 2: false,2,false,data/btp-national-2003/variables.csv,,
btp-national-2003,knowledge_010,qb45,45,,Did the United States have a veto on the United Nations Security Council?,paraphrase of source label or questionnaire,multiple choice,1: true | 2: false,1,true,data/btp-national-2003/variables.csv,,
btp-national-2003,knowledge_011,qb12,12,,What was the main cause of global warming?,paraphrase of source label or questionnaire,multiple choice,"1: it is caused mostly by human activities, like driving cars a | 2: it is caused mostly by natural changes in the climate, | 3: it is not occurring at all, or | 4: haven't you thought much about this?",1,"it is caused mostly by human activities, like driving cars a",data/btp-national-2003/variables.csv,,
btp-online-primaries-2004,knowledge_001,b1q43,,knowledge-1,What did President Bush’s tax cut do to taxes on investment income?,questionnaire,multiple choice,1: lower it | 2: keep it the same | 3: raise it | 4: don't know,1,lower it,data/btp-online-primaries-2004/questionnaires.pdf,,
btp-online-primaries-2004,knowledge_002,b1q44,,knowledge-2,What was Wesley Clark’s most recent government position?,questionnaire,multiple choice,1: senator from arkansas | 2: secretary of the air force | 3: supreme allied commander of nato | 4: national security advisor to the president | 5: don't know,3,supreme allied commander of nato,data/btp-online-primaries-2004/questionnaires.pdf,,
btp-online-primaries-2004,knowledge_003,b1q45,,knowledge-3,Why did President Bush end tariffs on imported steel?,questionnaire,multiple choice,"1: the steel industry and steelworkers unions objected | 2: he wanted to avoid increased tariffs by the european union o | 3: domestic steel production is insufficient to meet demand, th | 4: he has never supported tariffs | 5: don't know",2,he wanted to avoid increased tariffs by the european union o,data/btp-online-primaries-2004/questionnaires.pdf,,
btp-online-primaries-2004,knowledge_004,b1q46,,knowledge-4,Which Democratic presidential candidate had served as House majority leader?,questionnaire,multiple choice,1: john edwards | 2: howard dean | 3: joe lieberman | 4: richard gephardt | 5: don't know,4,richard gephardt,data/btp-online-primaries-2004/questionnaires.pdf,,
btp-online-primaries-2004,knowledge_005,b1q47,,knowledge-5,How had the unemployment rate changed since President Bush took office?,questionnaire,multiple choice,1: decreased | 2: stayed about the same | 3: increased | 4: don't know,3,increased,data/btp-online-primaries-2004/questionnaires.pdf,,
btp-online-primaries-2004,knowledge_006,b1q48,,knowledge-6,How many Americans had been killed in action in Iraq?,questionnaire,multiple choice,1: fewer than a hundred | 2: several hundred | 3: several thousand | 4: more than twenty thousand | 5: don't know,2,several hundred,data/btp-online-primaries-2004/questionnaires.pdf,,
btp-online-primaries-2004,knowledge_007,b1q49,,knowledge-7,What was the Bush administration’s position on a Free Trade Area of the Americas?,questionnaire,multiple choice,1: support it | 2: neither support nor oppose it | 3: oppose it | 4: don't know,1,support it,data/btp-online-primaries-2004/questionnaires.pdf,,
btp-presidential-primaries-2004,knowledge_001,b1q43,43,,What did President Bush’s tax cut do to taxes on investment income?,questionnaire,multiple choice,1: lower it | 2: keep it the same | 3: raise it | 4: don't know,1,lower it,data/btp-presidential-primaries-2004/source-materials/baseline-questionnaire.pdf,,
btp-presidential-primaries-2004,knowledge_002,b1q44,44,,What was Wesley Clark’s most recent government position?,questionnaire,multiple choice,1: senator from arkansas | 2: secretary of the air force | 3: supreme allied commander of nato | 4: national security advisor to the president | 5: don't know,3,supreme allied commander of nato,data/btp-presidential-primaries-2004/source-materials/baseline-questionnaire.pdf,,
btp-presidential-primaries-2004,knowledge_003,b1q45,45,,Why did President Bush end tariffs on imported steel?,questionnaire,multiple choice,"1: the steel industry and steelworkers unions objected | 2: he wanted to avoid increased tariffs by the european union o | 3: domestic steel production is insufficient to meet demand, th | 4: he has never supported tariffs | 5: don't know",2,he wanted to avoid increased tariffs by the european union o,data/btp-presidential-primaries-2004/source-materials/baseline-questionnaire.pdf,,
btp-presidential-primaries-2004,knowledge_004,b1q46,46,,Which Democratic presidential candidate had served as House majority leader?,questionnaire,multiple choice,1: john edwards | 2: howard dean | 3: joe lieberman | 4: richard gephardt | 5: don't know,4,richard gephardt,data/btp-presidential-primaries-2004/source-materials/baseline-questionnaire.pdf,,
btp-presidential-primaries-2004,knowledge_005,b1q47,47,,How had the unemployment rate changed since President Bush took office?,questionnaire,multiple choice,1: decreased | 2: stayed about the same | 3: increased | 4: don't know,3,increased,data/btp-presidential-primaries-2004/source-materials/baseline-questionnaire.pdf,,
btp-presidential-primaries-2004,knowledge_006,b1q48,48,,How many Americans had been killed in action in Iraq?,questionnaire,multiple choice,1: fewer than a hundred | 2: several hundred | 3: several thousand | 4: more than twenty thousand | 5: don't know,2,several hundred,data/btp-presidential-primaries-2004/source-materials/baseline-questionnaire.pdf,,
btp-presidential-primaries-2004,knowledge_007,b1q49,49,,What was the Bush administration’s position on a Free Trade Area of the Americas?,questionnaire,multiple choice,1: support it | 2: neither support nor oppose it | 3: oppose it | 4: don't know,1,support it,data/btp-presidential-primaries-2004/source-materials/baseline-questionnaire.pdf,,
btp-general-election-2004,knowledge_001,w4b60,60,knowledge-1,How did John Kerry vote on the Senate resolution authorizing the Iraq war?,paraphrase of source label or questionnaire,multiple choice,"-4: case in not in wave of data collection | -3: case in wave, no survey on file | 1: vote for it | 2: vote against it | 3: not vote on it | 4: blank | 5: don't know",1,vote for it,data/btp-general-election-2004/variables.csv,,
btp-general-election-2004,knowledge_002,w4b61,61,knowledge-2,Which country harbored the most Al Qaeda and Taliban fighters?,paraphrase of source label or questionnaire,multiple choice,"-4: case in not in wave of data collection | -3: case in wave, no survey on file | 1: india | 2: pakistan | 3: sri lanka | 4: indonesia | 5: blank | 6: don't know",2,pakistan,data/btp-general-election-2004/variables.csv,,
btp-general-election-2004,knowledge_003,w4b62,62,knowledge-3,Was Iraq directly involved in the September 11 attacks?,paraphrase of source label or questionnaire,multiple choice,"-4: case in not in wave of data collection | -3: case in wave, no survey on file | 1: true | 2: false | 3: blank | 4: don't know",2,false,data/btp-general-election-2004/variables.csv,,
btp-general-election-2004,knowledge_004,w4b63,63,knowledge-4,Had large quantities of weapons of mass destruction been found in Iraq?,paraphrase of source label or questionnaire,multiple choice,"-4: case in not in wave of data collection | -3: case in wave, no survey on file | 1: true | 2: false | 3: blank | 4: don't know",2,false,data/btp-general-election-2004/variables.csv,,
btp-general-election-2004,knowledge_005,w4b64,64,knowledge-5,Did prescription drugs cost more in Canada than in the United States?,paraphrase of source label or questionnaire,multiple choice,"-4: case in not in wave of data collection | -3: case in wave, no survey on file | 1: true | 2: false | 3: blank | 4: don't know",2,false,data/btp-general-election-2004/variables.csv,,
btp-general-election-2004,knowledge_006,w4b65,65,knowledge-6,What was George W. Bush’s role during the Vietnam War?,paraphrase of source label or questionnaire,multiple choice,"-4: case in not in wave of data collection | -3: case in wave, no survey on file | 1: he was drafted but never went to vietnam | 2: he was a decorated officer serving in vietnam | 3: he was ineligible to serve in the military because of a medi | 4: he served in the texas air national guard | 5: blank | 6: don't know",4,he served in the texas air national guard,data/btp-general-election-2004/variables.csv,,
btp-general-election-2004,knowledge_007,w4b66,66,knowledge-7,What was John Kerry’s role during the Vietnam War?,paraphrase of source label or questionnaire,multiple choice,"-4: case in not in wave of data collection | -3: case in wave, no survey on file | 1: he was drafted but never went to vietnam | 2: he was a decorated officer serving in vietnam | 3: he was ineligible to serve in the military because of a medi | 4: he served in the massachusetts air national guard | 5: blank | 6: don't know",2,he was a decorated officer serving in vietnam,data/btp-general-election-2004/variables.csv,,
btp-general-election-2004,knowledge_008,w4b68,68,knowledge-8,Which country was a major destination for offshore white-collar jobs?,paraphrase of source label or questionnaire,multiple choice,"-4: case in not in wave of data collection | -3: case in wave, no survey on file | 1: south africa | 2: japan | 3: brazil | 4: india | 5: blank | 6: don't know",4,india,data/btp-general-election-2004/variables.csv,,
btp-general-election-2004,knowledge_009,w4b69,69,knowledge-9,About how many Americans had been killed in Iraq since the war began?,paraphrase of source label or questionnaire,multiple choice,"-4: case in not in wave of data collection | -3: case in wave, no survey on file | 1: 100 | 2: 500 | 3: 1,000 | 4: 10,000 | 5: blank | 6: don't know",3,"1,000",data/btp-general-election-2004/variables.csv,,
new-haven-2004,knowledge_001,pre_q35,35,,Which population estimate is closest to that of the greater New Haven region?,questionnaire or source codebook,multiple choice,"1: 250,000 | 2: 350,000 | 3: 550,000 | 4: 750,000",3,"550,000",data/new-haven-2004/source-materials/baseline-cati.txt,,
new-haven-2004,knowledge_002,pre_q36,36,,"Was New Haven regional job growth in the 1990s greater than, similar to, or less than the rest of the United States?",questionnaire or source codebook,multiple choice,1: More | 2: About the same | 3: Less,2,About the same,data/new-haven-2004/source-materials/baseline-cati.txt,,
new-haven-2004,knowledge_003,pre_q37,37,,What is the main source of revenue for most town governments in greater New Haven?,questionnaire or source codebook,multiple choice,1: Sales taxes | 2: Property taxes | 3: State subsidies | 4: Federal subsidies,2,Property taxes,data/new-haven-2004/source-materials/baseline-cati.txt,,
new-haven-2004,knowledge_004,pre_q39,39,,"Did the population of New Haven city increase, stay the same, or decrease in the 1990s?",questionnaire or source codebook,multiple choice,1: Increased | 2: Stayed the same | 3: Decreased,3,Decreased,data/new-haven-2004/source-materials/baseline-cati.txt,,
new-haven-2004,knowledge_005,pre_q40,40,,Does Connecticut law allow communities to share property tax revenues?,questionnaire or source codebook,multiple choice,1: Yes | 2: No,1,Yes,data/new-haven-2004/source-materials/baseline-cati.txt,,
new-haven-2004,knowledge_006,pre_q41,41,,"Do communities with the most valuable property tend to have the lowest, average, or highest property tax rates?",questionnaire or source codebook,multiple choice,1: Lowest | 2: Average | 3: Highest,1,Lowest,data/new-haven-2004/source-materials/baseline-cati.txt,,
new-haven-2004,knowledge_007,pre_q42,42,,How does the Federal Aviation Authority classify Tweed New Haven Airport?,questionnaire or source codebook,multiple choice,1: Major hub | 2: Medium hub | 3: Minor hub | 4: Non-hub,4,Non-hub,data/new-haven-2004/source-materials/baseline-cati.txt,,
new-haven-2004,knowledge_008,pre_q43,43,,Would maintaining Tweed New Haven Airport at its current level of service require significant investment?,questionnaire or source codebook,multiple choice,1: Yes | 2: No,1,Yes,data/new-haven-2004/source-materials/baseline-cati.txt,,
btp-health-education-2005,knowledge_001,q15,q15,knowledge-1,Where did the United States rank among wealthy countries in student mathematics skills?,paraphrase of source label or questionnaire,multiple choice,1: bottom 3 | 2: bottom 10 | 3: top 10 | 4: top 3 | 7: dk,2,bottom 10,data/btp-health-education-2005/variables.csv,,
btp-health-education-2005,knowledge_002,q16,q16,knowledge-2,Had it become harder or easier for foreigners to get United States work permits?,paraphrase of source label or questionnaire,multiple choice,1: harder | 2: same | 3: easier | 7: dk,1,harder,data/btp-health-education-2005/variables.csv,,
btp-health-education-2005,knowledge_003,q17,q17,knowledge-3,Had the minority–White gap in elementary mathematics and reading scores widened?,paraphrase of source label or questionnaire,multiple choice,1: increasing | 2: same | 3: decreasing | 7: dk,1,increasing,data/btp-health-education-2005/variables.csv,,
btp-health-education-2005,knowledge_004,q26,q26,knowledge-4,About how many Americans lacked health insurance?,paraphrase of source label or questionnaire,multiple choice,1: 1 million | 2: 25 million | 3: 45 million | 4: 65 million | 5: 85 million | 7: dk,3,45 million,data/btp-health-education-2005/variables.csv,,
btp-health-education-2005,knowledge_005,q27,q27,knowledge-5,How much was the population age 65 and older expected to grow over the next 50 years?,paraphrase of source label or questionnaire,multiple choice,1: stay about the same | 2: increase by about half | 3: double | 4: triple | 7: dk,3,double,data/btp-health-education-2005/variables.csv,,
btp-health-education-2005,knowledge_006,q28,q28,knowledge-6,What share of uninsured families had low incomes?,paraphrase of source label or questionnaire,multiple choice,1: a quarter | 2: fifty per cent | 3: two thirds | 4: ninety per cent | 7: dk,3,two thirds,data/btp-health-education-2005/variables.csv,,
zeguo-2005,knowledge_001,pre_d3043,pre_d3043,,By how much did Zeguo Township revenue increase from 2003 to 2004?,questionnaire or source codebook,multiple choice,1: 10.2% | 2: 20.1% | 3: 33.7% | 4: No increase,3,33.7%,data/zeguo-2005/source-materials/questionnaire-alternative.pdf,,post_d3043
zeguo-2005,knowledge_002,pre_d3044,pre_d3044,,How large is the floating population in Zeguo Township?,questionnaire or source codebook,multiple choice,"1: 300,000 | 2: 50,000 | 3: 120,000 | 4: 200,000",3,"120,000",data/zeguo-2005/source-materials/questionnaire-alternative.pdf,,post_d3044
zeguo-2005,knowledge_003,pre_d3045,pre_d3045,,Which listed product is not a major product of Zeguo Township?,questionnaire or source codebook,multiple choice,1: Water pumps | 2: Shoes | 3: Plastic products | 4: Air compressors,3,Plastic products,data/zeguo-2005/source-materials/questionnaire-alternative.pdf,,post_d3045
zeguo-2005,knowledge_004,pre_d3046,pre_d3046,,How many parks does Zeguo Township currently have?,questionnaire or source codebook,multiple choice,1: Zero | 2: One | 3: Two | 4: Five | 5: Seven,3,Two parks,data/zeguo-2005/source-materials/questionnaire-alternative.pdf,,post_d3046
tomorrows-europe-2007,knowledge_001,q16_1,...1,knowledge-1,Which listed country was an official candidate to join the European Union?,paraphrase of source label or questionnaire,multiple choice,1: Romania | 2: Montenegro | 3: Croatia | 4: Morocco | 5: Or couldn t you say about that ? | 6: REF | 7: DK,3,Croatia,data/tomorrows-europe-2007/variables.csv,,
tomorrows-europe-2007,knowledge_002,q17_1,...2,knowledge-2,How were members of the European Parliament chosen?,paraphrase of source label or questionnaire,multiple choice,1: Directly elected by the citizens of their country | 2: Elected for three year terms | 3: Elected by the parliament of their country | 4: Appointed by their national head of government | 5: Or couldn t you say about that ? | 6: REF | 7: DK,1,Directly elected by the citizens of their country,data/tomorrows-europe-2007/variables.csv,,
tomorrows-europe-2007,knowledge_003,q18_1,...3,knowledge-3,Which European Union institutions adopted employment laws?,paraphrase of source label or questionnaire,multiple choice,"1: The European Commission, in some cases with the European Parliament | 2: The Council of Ministers, in some cases with the European Parliament | 3: The European Parliament by itself | 4: The European commission by itself | 5: Or couldn t you say about that ? | 6: REF | 7: DK",2,"The Council of Ministers, in some cases with the European Parliament",data/tomorrows-europe-2007/variables.csv,,
tomorrows-europe-2007,knowledge_004,q19_1,...4,knowledge-4,What was the European Union’s role in unemployment benefits?,paraphrase of source label or questionnaire,multiple choice,1: Finance the member states  unemployment benefit systems | 2: Decide the level and length of unemployment benefits in the member states | 3: Require that the member states merge their unemployment benefit systems by 2010 | 4: Guarantee that all EU citizens have access to unemployment benefits where they live | 5: Or couldn t say about that ? | 6: REF | 7: DK,4,Guarantee that all EU citizens have access to unemployment benefits where they live,data/tomorrows-europe-2007/variables.csv,,
tomorrows-europe-2007,knowledge_005,q20_1,...5,knowledge-5,To what was roughly one-third of the European Union budget devoted?,paraphrase of source label or questionnaire,multiple choice,1: Helping the EU s less prosperous regions | 2: Subsidizing the EU s fishing industry | 3: Financing diplomatic missions abroad | 4: Maintaining the EU s administration and bureaucracy | 5: Or couldn t you say about that ? | 6: REF | 7: DK,1,Helping the EU s less prosperous regions,data/tomorrows-europe-2007/variables.csv,,
tomorrows-europe-2007,knowledge_006,q21_1,...6,knowledge-6,How was the share of European Union adults age 65 or older expected to change by 2050?,paraphrase of source label or questionnaire,multiple choice,1: About one quarter of what it is now | 2: About half of what it is now | 3: About the same as what it is now | 4: About twice what it is now | 5: About four times what it is now | 6: Or couldn t you say about that ? | 7: REF | 8: DK,4,About twice what it is now,data/tomorrows-europe-2007/variables.csv,,
tomorrows-europe-2007,knowledge_007,q22_1,...7,knowledge-7,How much foreign aid did the European Union and its members give relative to the United States?,paraphrase of source label or questionnaire,multiple choice,1: The EU and its member states give roughly four times as much | 2: The EU and its member states give roughly twice as much | 3: The EU and its member states and the US give about the same amount | 4: The US gives roughly twice as much | 5: The US gives roughly four times as much | 6: Or couldn t you say about that ? | 7: REF | 8: DK,2,The EU and its member states give roughly twice as much,data/tomorrows-europe-2007/variables.csv,,
tomorrows-europe-2007,knowledge_008,q23_1,...8,knowledge-8,About what share of European Union member governments’ spending went to foreign aid?,paraphrase of source label or questionnaire,multiple choice,1: About 1% | 2: About  5% | 3: About  9% | 4: About 13% | 5: About 17% | 6: Or couldn t you say about that ? | 7: REF | 8: DK,1,About 1%,data/tomorrows-europe-2007/variables.csv,,
tomorrows-europe-2007,knowledge_009,q24_1,...9,knowledge-9,Which listed country did not possess nuclear weapons?,paraphrase of source label or questionnaire,multiple choice,1: Pakistan | 2: India | 3: North Korea | 4: Japan | 5: Or couldn t you say about that ? | 6: REF | 7: DK,4,Japan,data/tomorrows-europe-2007/variables.csv,,
tomorrows-europe-2007,knowledge_010,q33a_1,...10,knowledge-10,Where was Nicolas Sarkozy on the left to right political scale?,paraphrase of source label or questionnaire,placement scale,1: 0 | 2: 1 | 3: 2 | 4: 3 | 5: 4 | 6: 5 | 7: 6 | 8: 7 | 9: 8 | 10: 9 | 11: 10 | 12: REF | 13: DK,7|8|9|10|11,6 | 7 | 8 | 9 | 10,data/tomorrows-europe-2007/variables.csv,,
tomorrows-europe-2007,knowledge_011,q33b_1,...11,knowledge-11,Where was Gordon Brown on the left to right political scale?,paraphrase of source label or questionnaire,placement scale,1: 0 | 2: 1 | 3: 2 | 4: 3 | 5: 4 | 6: 5 | 7: 6 | 8: 7 | 9: 8 | 10: 9 | 11: 10 | 12: REF | 13: DK,1|2|3|4|5,0 | 1 | 2 | 3 | 4,data/tomorrows-europe-2007/variables.csv,,
northern-ireland-2007,knowledge_001,t1q21,,knowledge-1,What share of Northern Ireland schools had mostly Protestant or mostly Catholic pupils?,paraphrase of source label or questionnaire,multiple choice,1: more than 50% | 2: 40-50% | 3: 20-30% | 4: 5-10% | 5: less than 1% | 9: don't know,4,5-10%,data/northern-ireland-2007/variables.csv,Archived variable/value labels are truncated; the listed substantive choices are partial transcriptions. The key is the archived numeric code.,
northern-ireland-2007,knowledge_002,t1q22,,knowledge-2,By about what percentage had the number of children entering Omagh schools changed?,paraphrase of source label or questionnaire,multiple choice,1: increased by 20% | 2: increased by 10% | 3: stayed about the same | 4: decreased by 10% | 5: decreased by 20% | 9: don't know,4,decreased by 10%,data/northern-ireland-2007/variables.csv,Archived variable/value labels are truncated; the listed substantive choices are partial transcriptions. The key is the archived numeric code.,
northern-ireland-2007,knowledge_003,t1q23,,knowledge-3,What did the new entitlement framework require for the school curriculum?,paraphrase of source label or questionnaire,multiple choice,1: every school provides all 14-year-olds with a choice of at l | 2: every child has the right to attend any school his or her pa | 3: every child be provided a free school meal every school day | 4: every child receives free textbooks | 9: don't know,1,every school provides all 14-year-olds with a choice of at l…,data/northern-ireland-2007/variables.csv,Archived variable/value labels are truncated; the listed substantive choices are partial transcriptions. The key is the archived numeric code.,
northern-ireland-2007,knowledge_004,t1q24,,knowledge-4,What did the new entitlement framework require for access to courses?,paraphrase of source label or questionnaire,multiple choice,1: every child receives tuition in the language of his or her p | 2: every child receives free transportation to and from school | 3: every denominational group has the right to run its own scho | 4: one-third of all the subjects offered must be applied | 9: don't know,4,one-third of all the subjects offered must be applied…,data/northern-ireland-2007/variables.csv,Archived variable/value labels are truncated; the listed substantive choices are partial transcriptions. The key is the archived numeric code.,
northern-ireland-2007,knowledge_005,t1q25,,knowledge-5,What did pupils in Northern Ireland typically do after compulsory schooling?,paraphrase of source label or questionnaire,multiple choice,1: about one-quarter go directly into employment | 2: about one-quarter leave school to be unemployed | 3: about three-quarters of grammar school pupils attend univers | 4: about three-quarters of secondary school students attend fur | 9: don't know,3,about three-quarters of grammar school pupils attend univers…,data/northern-ireland-2007/variables.csv,Archived variable/value labels are truncated; the listed substantive choices are partial transcriptions. The key is the archived numeric code.,
northern-ireland-2007,knowledge_006,t1q26,,knowledge-6,Which statement about Northern Ireland school funding was correct?,paraphrase of source label or questionnaire,multiple choice,"1: schools receive more funding for older pupils | 2: schools receive the same funding for all pupils, regardless | 3: schools receive more funding for younger pupils | 9: don't know",1,schools receive more funding for older pupils,data/northern-ireland-2007/variables.csv,Archived variable/value labels are truncated; the listed substantive choices are partial transcriptions. The key is the archived numeric code.,
northern-ireland-2007,knowledge_007,t1q27,,knowledge-7,Which statement about the employing authority for Northern Ireland schools was correct?,paraphrase of source label or questionnaire,multiple choice,1: the official employer for all teachers is the education and | 2: the official employer for all teachers is the department of | 3: the official employer for all teachers in catholic schools i | 4: the official employer for all teachers in voluntary grammar | 9: don't know,4,the official employer for all teachers in voluntary grammar…,data/northern-ireland-2007/variables.csv,Archived variable/value labels are truncated; the listed substantive choices are partial transcriptions. The key is the archived numeric code.,
vermont-energy-2007,knowledge_001,Q77,,knowledge-1,What was the surcharge on Vermont electricity bills?,paraphrase of source label or questionnaire,multiple choice,1: Almost no impact | 2: Reduced by 20% | 3: Reduced by 50% | 4: Reduced by 70% | 5: Reduced by 90% | 8: No Opinion / Don't Know,2,Reduced by 20%,data/vermont-energy-2007/variables.csv,,
vermont-energy-2007,knowledge_002,Q78,,knowledge-2,What was the effect of the Vermont energy-efficiency program?,paraphrase of source label or questionnaire,multiple choice,1: Almost no impact | 2: Reduced by 20% | 3: Reduced by 50% | 4: Reduced by 70% | 5: Reduced by 90% | 8: No Opinion / Don't Know,3,Reduced by 50%,data/vermont-energy-2007/variables.csv,,
vermont-energy-2007,knowledge_003,Q79,,knowledge-3,What share of electricity came from renewable sources?,paraphrase of source label or questionnaire,multiple choice,1: 5% | 2: 15% | 3: 25% | 4: 40% | 8: No Opinion / Don't Know,2|3,15% | 25%,data/vermont-energy-2007/variables.csv,,
vermont-energy-2007,knowledge_004,Q80,,knowledge-4,What share of electricity came from the Vermont Yankee nuclear plant?,paraphrase of source label or questionnaire,multiple choice,1: 5% | 2: 15% | 3: 25% | 4: 40% | 8: No Opinion / Don't Know,4,40%,data/vermont-energy-2007/variables.csv,,
vermont-energy-2007,knowledge_005,Q81,,knowledge-5,What share of electricity came from Hydro-Québec?,paraphrase of source label or questionnaire,multiple choice,1: 5% | 2: 15% | 3: 25% | 4: 40% | 8: No Opinion / Don't Know,2,15%,data/vermont-energy-2007/variables.csv,,
vermont-energy-2007,knowledge_006,Q82,,knowledge-6,What share of electricity was produced within Vermont?,paraphrase of source label or questionnaire,multiple choice,1: 5% | 2: 15% | 3: 25% | 4: 40% | 8: No Opinion / Don't Know,3,25%,data/vermont-energy-2007/variables.csv,,
vermont-energy-2007,knowledge_007,Q83,,knowledge-7,How did Vermont electricity rates compare with the rest of New England?,paraphrase of source label or questionnaire,multiple choice,1: Roughly 10% higher | 2: Roughly 20% higher | 3: About the same | 4: Roughly 10% lower | 5: Roughly 20% lower | 8: No Opinion / Don't Know,4,Roughly 10% lower,data/vermont-energy-2007/variables.csv,,
vermont-energy-2007,knowledge_008,Q84,,knowledge-8,What was the average Vermont household electricity bill?,paraphrase of source label or questionnaire,multiple choice,1: Roughly $60 | 2: Roughly $80 | 3: Roughly $120 | 4: Roughly $180 | 8: No Opinion / Don't Know,2,Roughly $80,data/vermont-energy-2007/variables.csv,,
vermont-energy-2007,knowledge_009,Q85,,knowledge-9,When did the Vermont Yankee contract expire?,paraphrase of source label or questionnaire,multiple choice,1: 2010 | 2: 2012 | 3: 2018 | 4: 2025 | 8: No Opinion / Don't Know,2,2012,data/vermont-energy-2007/variables.csv,,
btp-2007,knowledge_001,PRE_Q19,,knowledge-1,About how many Americans were prevented from voting because of criminal convictions?,paraphrase of source label or questionnaire,multiple choice,"1: 50,000 | 2: 500,000 | 3: 5,000,000 | 4: 15,000,000 | 99: Couldn't say",3,"5,000,000",data/btp-2007/variables.csv,,
btp-2007,knowledge_002,PRE_Q20,,knowledge-2,What was the purpose of gerrymandering?,paraphrase of source label or questionnaire,multiple choice,1: Increase electoral competition | 2: Ensure a majority for one party over another | 3: Include independents in the primary process | 4: Make them much smaller | 99: Couldn't say,2,Ensure a majority for one party over another,data/btp-2007/variables.csv,,
btp-2007,knowledge_003,PRE_Q21,,knowledge-3,What share of eligible voters voted in the specified presidential election?,paraphrase of source label or questionnaire,multiple choice,1: 10% | 2: 30% | 3: 50% | 4: 70% | 99: Couldn't say,3,50%,data/btp-2007/variables.csv,,
btp-2007,knowledge_004,PRE_Q22,,knowledge-4,Which listed country had compulsory voting?,paraphrase of source label or questionnaire,multiple choice,1: Ireland | 2: United Kingdom | 3: Australia | 4: South Korea | 99: Couldn't say,3,Australia,data/btp-2007/variables.csv,,
btp-2007,knowledge_005,PRE_Q23,,knowledge-5,Who had to register with Selective Service in the United States?,paraphrase of source label or questionnaire,multiple choice,1: Nobody | 2: Men between 18 and 25 years old | 3: Both men and women between 18 and 25 years old | 4: Men and women who receive federal grants for education | 99: Couldn't say,2,Men between 18 and 25 years old,data/btp-2007/variables.csv,,
btp-2007,knowledge_006,PRE_Q24,,knowledge-6,What vote total must a United States presidential candidate receive to win?,paraphrase of source label or questionnaire,multiple choice,1: Gets more votes than any other candidate | 2: Gets a majority of all the votes cast | 3: Gets more Electoral College votes than any other candidate | 4: Gets a majority of Electoral College votes | 99: Couldn't say,4,Gets a majority of Electoral College votes,data/btp-2007/variables.csv,,
btp-2007,knowledge_007,PRE_Q25,,knowledge-7,How often are congressional districts redrawn?,paraphrase of source label or questionnaire,multiple choice,1: Every 5 years | 2: Every 10 years | 3: Every 15 years | 4: Every 20 years | 99: Couldn't say,2,Every 10 years,data/btp-2007/variables.csv,,
btp-2007,knowledge_008,PRE_Q26,,knowledge-8,Which two states held the earliest presidential primary events?,paraphrase of source label or questionnaire,multiple choice,1: Nevada and South Carolina | 2: Iowa and New Hampshire | 3: Indiana and New Mexico | 4: Wyoming and Delaware | 5: Michigan and Florida | 99: Couldn't say,2,Iowa and New Hampshire,data/btp-2007/variables.csv,,
san-mateo-2008,knowledge_001,Q19,19,knowledge-1,What was the yearly gap between new homes needed and homes built in San Mateo County?,paraphrase of source label or questionnaire,multiple choice,"1: about 200 | 2: about 500 | 3: about 1,000 | 4: about 5,000 | 5: about 8,000 | 6: Or couldnÆt you say about that?",3,"about 1,000",data/san-mateo-2008/variables.csv,,
san-mateo-2008,knowledge_002,Q20,20,knowledge-2,What was the median single-family home price in San Mateo County in 2007?,paraphrase of source label or questionnaire,multiple choice,"1: 550,000 | 2: 680,000 | 3: 750,000 | 4: 830,000 | 5: 950,000 | 6: Or couldnÆt you say about that?",5,"950,000",data/san-mateo-2008/variables.csv,,
san-mateo-2008,knowledge_003,Q21,21,knowledge-3,What share of county households could afford a median-priced home in 2006?,paraphrase of source label or questionnaire,multiple choice,1: 12% | 2: 23% | 3: 37% | 4: 43% | 5: 55% | 6: Or couldnÆt you say about that?,1,12%,data/san-mateo-2008/variables.csv,,
